Cuisines,count
North Indian,3960
Chinese,2735
Fast Food,1986
Mughlai,995
Italian,764
Bakery,745
Continental,736
Cafe,703
Desserts,653
South Indian,636
Street Food,562
American,390
Pizza,381
Mithai,380
Burger,251
Thai,234
Asian,233
Beverages,229
Ice Cream,226
Mexican,181
Biryani,177
Seafood,174
Healthy Food,150
European,148
Japanese,135
Finger Food,114
Raw Meats,114
Mediterranean,112
Salad,93
Sushi,75
Indian,70
Lebanese,69
Steak,62
Sandwich,53
Tea,48
Tibetan,44
Breakfast,41
Bar Food,39
BBQ,33
French,29
Juices,29
Bengali,29
Arabian,28
Brazilian,28
Hyderabadi,26
Southern,24
Kerala,23
Vegetarian,23
Middle Eastern,22
Malaysian,22
